text,label
"Notwithstanding any provision to the contrary in the Agreement, Licensor shall not subcontract or assign any of the Services that may  require access to or the downloading or other use of Personal Information except with the prior written consent of Licensee or as required to  be disclosed by a governmental agency or third party as expressly required by operation of law, regulation or court order.",Anti-Assignment
"This  Agreement is governed by, and will be construed in  accordance  with,  the laws of British Columbia, Canada.",Governing Law
"If Hydraspin desires to enter a new territory in the United States, Hydraspin will offer Distributor the first opportunity to become the exclusive distributor for the new territory.",Rofr/Rofo/Rofn
"This Agreement will take effect on the Effective Date and remain in effect for a period of 1 year; provided, that Sections 2 and 3 level shall terminate promptly upon (a) any action or omission by Client or any of its customers which constitutes a breach of or default by TrueLink under any System Agreement or Credit Repository Agreement, which breach or default has either not been cured or cannot be cured within the applicable cure period and the consequences of which is that TrueLink will lose material rights it had pursuant to said Agreements or (b) any violations or breach by Client of Sections 8a - 8c.",Expiration Date
"In furtherance of the foregoing, and at the request of either Party, the Joint Commercial Team, reasonably in advance of the expected end of the Term shall develop and approve a transition plan that contains, among other things, a plan for notifying Targets and other customers or health care providers of such termination or expiration and transition, and, if applicable, provides for the completion of any events set forth in a Brand Plan which are already scheduled but will take place after the effective date of termination or expiration.",Post-Termination Services
"Negotiating in good faith, the Parties shall agree to a reasonable minimum percentage of Product supply to [***] Import Alert.",Minimum Commitment
Sell-off  period:  3  months  after  termination,Post-Termination Services
Cellco's appointment as custodian is effective as of the Initial Cutoff Date and will continue until the later of (i) the date on which all obligations of the Issuer have been paid in full and (ii) the date on which such appointment is terminated under this Section 3.10(f).,Expiration Date
"PPG SHANGHAI hereby grants to          DISTRIBUTOR during the Term, subject to the terms and conditions          hereinafter specified, a limited, nonexclusive, nonassignable and          nontransferable right to use the PPG Trademarks in the Territory for or          in connection with its advertisement, promotion, sale and distribution          of Products.",License Grant
"Additionally, if PB elects to continue development of the Product and obtains Regulatory Approval following such termination, PB will remain obligated to pay any Approval Payments that become due and payable pursuant to ARTICLE 6 at such time as such payments become due and payable (if ever) (except to the extent PB pays any Buy-Out Payment(s) pursuant to Section 6.7), provided that each Approval Payment (or Buy-Out Payment, as applicable) shall be adjusted as set forth in Section 6.2, and reduced by the amount previously paid by PB to SFJ pursuant to this Section 14.2.1.",Post-Termination Services
"MD Anderson and Adaptimmune each a ""Party"" and collectively the ""Parties""",Parties
"A Success Fee of 0.85% shall be paid based on the aggregate purchase price of the Shares sold in the Subscription Offering and the Community Offering excluding shares purchased by the Blue Hills Parties' officers, directors, trustees or employees (or members of their immediate family) plus any ESOP, tax-qualified or stock based compensation plans or similar plan created by the Blue Hills Parties for some or all of their directors or employees or by the foundation (or any shares contributed to the foundation).",Revenue/Profit Sharing
"NOW THEREFORE, in consideration of the mutual promise made in this Agreement, and for other good and valuable consideration, the receipt and sufficiency of which is hereby acknowledged, the parties hereto agree as follows:",NONE
